condition,currency,category,year,make,model,location,s/n,reg,total_hours,national_origin,standard_price,hour,price,country
Used,USD,Single Engine Piston,2006,PIPER AIRCRAFT,SARATOGA II TC (1998 - 2008),"ID
	                           USA",3257407,N269Z,1218.0,United States,325000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2006,ROBINSON HELICOPTER,R44 RAVEN II,"IL
	                           USA",11044,N508CS,2188.0,United States,399000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,AMERICAN CHAMPION,7-EC,"Addison,
	                           TX
	                           USA",1016-2007,N137EC,998.0,United States,79500.0,upto 1000 hours,upto 100000,USA
Used,USD,Turboprops,2007,CESSNA,CARAVAN 208 AMPHIBIAN,"South St Paul,
	                           MN
	                           USA",20800413,N984JD,3973.0,United States,1600000.0,upto 4000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22-G3 TURBO GTS,"Phillipsburg,
	                           OH
	                           USA",2572,N33PF,2275.0,United States,319900.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CESSNA,350,"San Antonio,
	                           TX
	                           USA",42546,N113FP,1253.0,United States,290000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CESSNA,400,"San Angelo,
	                           TX
	                           USA",41787,N333XC,1630.0,United States,339900.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Turboprops,2008,CESSNA,208B GRAND CARAVAN,"Naples,
	                           FL
	                           USA",208B2026,N192GC,6898.0,United States,1695000.0,upto 10000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,2008,CIRRUS,SR20-G3,"Houston,
	                           TX
	                           USA",1976,N619SS,1240.0,United States,229000.0,upto 2000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2008,CIRRUS,SR20-G3,"Phillipsburg,
	                           OH
	                           USA",1947,N624CP,1465.0,United States,209900.0,upto 2000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2008,DIAMOND AIRCRAFT INDUSTRIES,DA40 XLS,"Lexington,
	                           KY
	                           USA",40.861,N400CC,1450.0,AUSTRIA,269900.0,upto 2000 hours,upto 500000 hours,Other
Used,USD,Single Engine Piston,2009,CIRRUS,SR22-G3 TURBO,"Lebanon,
	                           OH
	                           USA",3428,N98LW,1660.0,United States,450000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2019,BEECHCRAFT,G36 BONANZA,"Hayti,
	                           MO
	                           USA",E-4131,N55JU,78.0,United States,789000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2019,VASHON AIRCRAFT,RANGER R7,"Fort Lauderdale,
	                           FL
	                           USA",10152,N158VR,113.0,United States,99900.0,upto 1000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,2002,PIPER AIRCRAFT,SENECA V,"Bryan (KCFD),
	                           TX
	                           USA",3449259,N4170H,1102.0,United States,529900.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2001,CESSNA,T182 SKYLANE,"Calgary
	                           
	                           CAN",Not Listed,C-GFVM,1247.0,United States,221900.0,upto 2000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1978,CESSNA,182RG SKYLANE,"Gerogetown,
	                           CA
	                           USA",R18200368,N6071C,3205.0,United States,82900.0,upto 4000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1975,PIPER AIRCRAFT,NAVAJO CR,"Calera,
	                           AL
	                           USA",31-7512012,N432CW,8714.0,United States,182500.0,upto 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1975,PIPER AIRCRAFT,NAVAJO CHIEFTAIN,"Louisville (KLOU),
	                           KY
	                           USA",31-7552116,N942E,7217.0,United States,324900.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1975,IAR S.A. BRASOV,IAR-823,"Port St. Lucie,
	                           FL
	                           USA",20,N11VA,2031.0,Romania,99500.0,upto 4000 hours,upto 100000,Other
Used,USD,Single Engine Piston,1964,PIPER AIRCRAFT,COMANCHE 250,"Sherman Oaks,
	                           CA
	                           USA",Not Listed,N8331P,4200.0,United States,59999.0,upto 10000 hours,upto 100000,USA
Used,USD,Turbine Helicopters,1964,BELL TEXTRON,UH-1H,USA,Not Listed,N19CF,12359.0,United States,379900.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1963,BEECHCRAFT,P35 BONANZA,"KATY,
	                           TX
	                           USA",D-7220,N379T,5111.0,United States,123000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2009,CIRRUS,SR22-G3 TURBO GTS,"Sturgis,
	                           MI
	                           USA",3370,N21WE,1378.0,United States,375000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2010,ARION AIRCRAFT LLC,LIGHTNING,"Akron,
	                           OH
	                           USA",98,N638JM,145.0,United States,65000.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,2010,PIPER AIRCRAFT,SUPER CUB,"JUPITER,
	                           FL
	                           USA",TCQ0904958,N123SQ,59.0,United States,189000.0,upto 1000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1981,PIPER AIRCRAFT,SENECA III,"Sturgis,
	                           MI
	                           USA",34-8133220,N8434M,4550.0,United States,219900.0,upto 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1981,PIPER AIRCRAFT,SENECA III,"Mesa,
	                           AZ
	                           USA",34-8133258,N915TX,3791.0,United States,164900.0,upto 4000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,2014,BEECHCRAFT,G58 BARON,"Greensboro,
	                           NC
	                           USA",TH-2414,N5114X,725.0,United States,979000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Turboprops,2012,PILATUS,PC-12 NG,"Fargo,
	                           ND
	                           USA",1376,Not Listed,2576.0,Switzerland,3399000.0,upto 4000 hours,more than 2000000,Other
Used,USD,Turboprops,1943,SCHLEPP,C-3605,CHE,274,HB-RDB,1019.0,Swtizerland,743700.0000000001,upto 2000 hours,upto 1000000 hours,Other
Used,USD,Single Engine Piston,1943,CURTISS,P-40N KITTYHAWK,"Albury,
	                           NSW
	                           AUS",42-104687,VH-ZOC,265.0,United States,1795000.0,upto 1000 hours,upto 2000000,USA
Used,USD,Private Jets,1985,CESSNA,CITATION ISP,"Watertown,
	                           WI
	                           USA",501-0687,N361DE,6995.0,United States,395000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1981,PIPER AIRCRAFT,TURBO SARATOGA SP (1980 - 1987),"Sturgis,
	                           MI
	                           USA",32R-8129013,N925TC,3853.0,United States,225000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1942,NORTH AMERICAN AVIATION,SNJ 5,"Tullahoma,
	                           TN
	                           USA",Not Listed,Not Listed,4100.0,United States,140000.0,upto 10000 hours,upto 250000,USA
New,USD,Single Engine Piston,2020,EDRA Pecas e Manutencao Ltda,LS,"Ormond Beach,
	                           FL
	                           USA",S0378,N378SP,4.0,Brazil,189000.0,upto 1000 hours,upto 250000,Other
New,USD,Single Engine Piston,2020,VAN'S AIRCRAFT,RV-12IS,"Louisville,
	                           KY
	                           USA",Not Listed,N502FC,17.0,United States,99000.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,2017,CIRRUS,SR22T-G6 GTS,"MI
	                           USA",1478,N313GP,1110.0,United States,725000.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2017,CIRRUS,SR22T-G6 GTS,"Livermore,
	                           CA
	                           USA",1500,N927CR,1125.0,United States,709000.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2017,CIRRUS,SR22T-G6 GTS,"Perry,
	                           GA
	                           USA",1617,N308JA,272.0,United States,749000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2017,CIRRUS,SR22T-G6 GTS,"Scottsdale,
	                           AZ
	                           USA",1509,N317MD,144.0,United States,745000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2017,CIRRUS,SR22T-G6 GTS,"College Station,
	                           TX
	                           USA",1481,N991EW,390.0,United States,845000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Private Jets,2017,CIRRUS,VISION SF50,"Knoxville,
	                           TN
	                           USA",24,N993KG,430.0,United States,1995000.0,upto 1000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,2017,FLIGHT DESIGN,CTLSI,"Wadmalaw
	                           
	                           USA",F-17-07-03,N906ls,119.0,Germany,145000.0,upto 1000 hours,upto 250000,Other
Used,USD,Turboprops,2017,PIPER AIRCRAFT,M600,"Surgar Land Regional Airport,
	                           TX
	                           USA",4698054,N620LF,290.0,United States,2150000.0,upto 1000 hours,more than 2000000,USA
Used,USD,Turboprops,2017,PIPER AIRCRAFT,M600,"Muncie,
	                           IN
	                           USA",4698033,N600EU,345.0,United States,2499000.0,upto 1000 hours,more than 2000000,USA
Used,USD,Turbine Helicopters,2017,ROBINSON HELICOPTER,R66,"St Augustine,
	                           FL
	                           USA",L#106J,L#106J,418.0,United States,799000.0,upto 1000 hours,upto 1000000 hours,USA
New,USD,Piston Helicopters,2017,SAFARI HELICOPTERS,400,"Steckborn
	                           
	                           CHE",699n,HB-YNP,50.0,Canada,158000.0,upto 1000 hours,upto 250000,Other
Used,USD,Turboprops,2017,SOCATA,TBM 930,"Muncie,
	                           IN
	                           USA",1169,N301MA,440.0,France,3449000.0,upto 1000 hours,more than 2000000,Other
Used,USD,Turboprops,2017,SOCATA,TBM 930,"Muncie,
	                           IN
	                           USA",1160,N11VU,972.0,France,3395000.0,upto 1000 hours,more than 2000000,Other
Used,USD,Single Engine Piston,2018,BRM AERO,BRISTELL,"Ronkonkoma,
	                           NY
	                           USA",357/2018,N557BL,400.0,Czech Republic,207923.0,upto 1000 hours,upto 250000,Other
Used,USD,Single Engine Piston,2012,CESSNA,T206H,"Olathe,
	                           KS
	                           USA",T20609043,N6334F,941.0,United States,549000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2012,CIRRUS,SR20-G3,"Phillipsburg,
	                           OH
	                           USA",2148,N117LF,520.0,United States,324900.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2012,CIRRUS,SR22-G3 GTS,"Lebanon,
	                           OH
	                           USA",3835,N22XJ,802.0,United States,485000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2012,CIRRUS,SR22-GTS,"KHBC,
	                           NC
	                           USA",3849,N809PC,440.0,United States,519000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Private Jets,2012,NEXTANT,400XT,"Ewing,
	                           NJ
	                           USA",RK230,N440XT,10110.0,United States,1850000.0,more than 10000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,2012,PIPER AIRCRAFT,MATRIX,"Winchester,
	                           VA
	                           USA",4692179,N711ST,2175.0,United States,569000.0,upto 4000 hours,upto 1000000 hours,USA
Used,USD,Gliders | Sailplanes,2012,PIPISTREL,SINUS,"Sequim,
	                           WA
	                           USA",196,N54PK,602.0,Slovenia,89900.0,upto 1000 hours,upto 100000,Other
Used,USD,Piston Helicopters,2012,ROBINSON HELICOPTER,R44 RAVEN II,"Mirabel,
	                           QC
	                           CAN",13276,C-FPBL,632.0,United States,299000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2012,VAN'S AIRCRAFT,RV-6/6A,"Pinedale,
	                           WY
	                           USA",60118,N451EC,190.0,United States,63000.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,2012,ZENAIR LTD,STOL CH750,"Elbert,
	                           CO
	                           USA",Not Listed,Not Listed,10.0,Canada,37500.0,upto 1000 hours,upto 100000,Other
Used,USD,Single Engine Piston,2013,AMERICAN CHAMPION,8-KCAB XTREME DECATHLON,"Waukesha,
	                           WI
	                           USA",1131-2013,N889YB,394.0,United States,225000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2013,AMERICAN CHAMPION,8-KCAB XTREME DECATHLON,"Medina,
	                           OH
	                           USA",1125-2013,N65BN,240.0,United States,199500.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2013,AMERICAN LEGEND,CUB AL3C-100 OPEN COWL,"Thomasville,
	                           GA
	                           USA",N75EC,Not Listed,175.0,United States,84500.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,2013,AVIAT,HUSKY A-1C,"Arlington,
	                           TX
	                           USA",Not Listed,N74WY,407.0,United States,259500.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Turboprops,2013,BEECHCRAFT,KING AIR 250,"West Palm Beach,
	                           FL
	                           USA",BY-176,N176BY,1015.0,United States,2995000.0,upto 2000 hours,more than 2000000,USA
Used,USD,Turboprops,2013,BEECHCRAFT,KING AIR 350I,"Seattle,
	                           WA
	                           USA",FL-862,N576FA,1196.0,United States,3595000.0,upto 2000 hours,more than 2000000,USA
Used,USD,Turboprops,2013,CESSNA,CARAVAN 208,"Calgary
	                           
	                           CAN",Not Listed,C-FZTY,405.0,United States,1950000.0,upto 1000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,2007,EVEKTOR,SPORTSTAR,"Jacksonville,
	                           FL
	                           USA",2007 0816,N816EV,127.0,Czech Republic,98000.0,upto 1000 hours,upto 100000,Other
Used,USD,Single Engine Piston,2007,EVEKTOR,SPORTSTAR,"Novato,
	                           CA
	                           USA",20070917,N917LA,1595.0,Czech Republic,49900.0,upto 2000 hours,upto 100000,Other
Used,USD,Single Engine Piston,2007,EXTRA FLUGZEUGBAU,300LP,"Palatka,
	                           FL
	                           USA",1243,N254RF,691.0,Germany,250000.0,upto 1000 hours,upto 250000,Other
Used,USD,Single Engine Piston,2007,FLIGHT DESIGN,CTSW,"Colorado Springs,
	                           CO
	                           USA",F-07-03-08,N359CT,2821.0,Germany,49999.0,upto 4000 hours,upto 100000,Other
Used,USD,Single Engine Piston,2007,FLIGHT DESIGN,CTSW,"Lancaster,
	                           PA
	                           USA",7/4/2015,N468CT,200.0,Germany,67900.0,upto 1000 hours,upto 100000,Other
